Project Category,Dimension,Score (1-5)
Quick Wins,Complexity,1
Quick Wins,Value Potential,2
Quick Wins,Time to Value,4
Quick Wins,External Dependency,1
Strategic Partnerships,Complexity,4
Strategic Partnerships,Value Potential,5
Strategic Partnerships,Time to Value,2
Strategic Partnerships,External Dependency,5
Internal Innovation,Complexity,3
Internal Innovation,Value Potential,3
Internal Innovation,Time to Value,3
Internal Innovation,External Dependency,2
Transformational Initiatives,Complexity,5
Transformational Initiatives,Value Potential,5
Transformational Initiatives,Time to Value,1
Transformational Initiatives,External Dependency,3
